 Шаг Элемент       Позиция X/R  Позиция Y/A  Позиция Z       Размер База        
 351 Дистанция         +0.9895      +0.0211    +0.0000      +0.9897 123, 124    
 352 Дистанция         +0.9897      +0.0191    +0.0000      +0.9899 124, 125    
 353 Дистанция         +0.9875      +0.0145    +0.0000      +0.9876 125, 126    
 354 Дистанция         +1.0023      +0.0243    +0.0000      +1.0026 126, 127    
 355 Дистанция         +0.9712      +0.0038    +0.0000      +0.9713 127, 128    
 356 Дистанция         +0.9925      +0.0090    +0.0000      +0.9925 128, 129    
 357 Дистанция         +0.9915      +0.0043    +0.0000      +0.9915 129, 130    
 358 Дистанция         +1.0038      +0.0118    +0.0000      +1.0038 130, 131    
 359 Дистанция         +0.9744      +0.0081    +0.0000      +0.9744 131, 132    
 360 Дистанция         +0.9958      +0.0051    +0.0000      +0.9958 132, 133    
 361 Дистанция         +0.9981      +0.0203    +0.0000      +0.9983 133, 134    
 362 Дистанция         +0.9819      +0.0021    +0.0000      +0.9819 134, 135    
 363 Дистанция         +0.9925      +0.0017    +0.0000      +0.9925 135, 136    
 364 Дистанция         +0.9915      +0.0168    +0.0000      +0.9916 136, 137    
 365 Дистанция         +0.9818      +0.0010    +0.0000      +0.9818 137, 138    
 366 Дистанция         +0.9936      +0.0281    +0.0000      +0.9940 138, 139    
 367 Дистанция         +0.9941      +0.0139    +0.0000      +0.9942 139, 140    
 368 Дистанция         +0.9972      +0.0063    +0.0000      +0.9972 140, 141    
 369 Дистанция         +0.9810      +0.0146    +0.0000      +0.9811 141, 142    
 370 Дистанция         +1.0009      +0.0252    +0.0000      +1.0012 142, 143    
 371 Дистанция         +0.9996      +0.0191    +0.0000      +0.9998 143, 144    
 372 Дистанция         +0.9904      +0.0146    +0.0000      +0.9905 144, 145    
 373 Дистанция         +0.9970      +0.0098    +0.0000      +0.9970 145, 146    
 374 Дистанция         +0.9959      +0.0225    +0.0000      +0.9962 146, 147    
 375 Дистанция         +0.9938      +0.0312    +0.0000      +0.9943 147, 148    
 376 Дистанция         +0.9849      +0.0001    +0.0000      +0.9849 148, 149    
 377 Дистанция         +0.9726      +0.9756    +0.0000      +1.3776 149, 150    
 378 Дистанция         +0.0007      +0.9695    +0.0000      +0.9695 150, 151    
 379 Дистанция         +0.0100      +1.0000    +0.0000      +1.0000 151, 152    
 380 Дистанция         +0.0056      +0.9971    +0.0000      +0.9971 152, 153    
 381 Дистанция         +0.0121      +0.9803    +0.0000      +0.9803 153, 154    
 382 Дистанция         +0.0041      +1.0131    +0.0000      +1.0131 154, 155    
 383 Дистанция         +0.0060      +0.9961    +0.0000      +0.9961 155, 156    
 384 Дистанция         +0.0124      +0.9880    +0.0000      +0.9881 156, 157    
 385 Дистанция         +0.0108      +1.0007    +0.0000      +1.0008 157, 158    
 386 Дистанция         +0.0071      +0.9844    +0.0000      +0.9845 158, 159    
 387 Дистанция         +0.0052      +0.9858    +0.0000      +0.9858 159, 160    
 388 Дистанция         +0.0160      +1.0066    +0.0000      +1.0067 160, 161    
